Website,Rating,Review_title,Review_date,Review_text,
Trip Advisor,Excellent,Food was excellent!,19 January 2020 ,Food was excellent we dined here more than once over our time in India and the food and service where both excellent! Would highly recommend!,
Trip Advisor,Excellent,Delecious food ..,16 January 2020 ,"Dear Adam,Thank you for your feedback and visiting KWAC again. Its always good to see our guests visit us again for the dining experience. Cheers!!KWAC family.",
Trip Advisor,Excellent,A little gem,14 January 2020 ,"We started with drinks from their large selection of smoothies, shakes, lassi and juices, all freshly prepared and artfully presented. Our food choices were made from a good selection of traditional Indian vegetarian and non-vegetarian dishes as well as salads, Chinese and Continental dishes. The...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Well worth a visit,14 January 2020 ,"Dear Mountaineer121,Great to see such feedback !! Thank you for your kind words and visiting KWAC . Please do visit again someday .Cheers!!KWAC family .",
Trip Advisor,Excellent,Excellant restaurant with charitable intentions,13 January 2020 ,"We called in for a drink and returned for an evening meal as we liked the atmosphere and the look of the menu. In fact we liked it so much we returned each evening of our 4 night stay in Delhi.Good is straightforward, meat...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,"Delicious, clean and safe dining ",12 January 2020 ,"Dear Inspiration727696,Thank you for your wonderful words . We are very happy that you enjoyed your time here and visited us again. It makes us smile and happy to see guests in general but more so when they visit again . It makes us...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Very Good,Wonderful concept - Great food!,10 January 2020 ,"Just landed from a trip to Varanasi and thought I'd try this place near my hotel that is highly rated. Ordered a tandoori platter of fish and lamb. Totally superb. International drinks reasonably priced too, compared to Taj hotels at least. Around £2 for JW...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great food for a great cause,9 January 2020 ,"Dear Knight5188,Thank you for your feedback. We are really happy that you enjoyed the dish and drinks here. Please do visit again someday !! It would be great to see you again . Cheers !! KWAC family",
Trip Advisor,Excellent,Lovely ,9 January 2020 ,"A charming &amp; relaxed restaurant with good food which is well priced. The service was excellent, I ate here both as part of a group and as a solo twice. Felt perfectly relaxed and looked after every time. Lovely food and cocktails if so desired....<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,enjoyed a lot,9 January 2020 ,"Dear Kingjarju,Thank you for your lovely feedback . We are glad that you enjoyed your time here at KWAC .and came back again .  Hope to see you again someday . Cheers !!KWAC family",
Trip Advisor,Excellent,"Good Food, Great Community Service",7 January 2020 ,The food at Kitchen With A Cause was incredible. There were plenty of staff to ensure prompt and friendly service. An awesome place doing the community an incredible service.,
Trip Advisor,Excellent,Touch at the heart,4 January 2020 ,Thank you Reecebaxter1995 for showing us your love . We are trying our level best to help change some lives and trying to serve delicious food at the same time. Please do visit again and spread the word!,
Trip Advisor,Excellent,Really nice place with good food and service!,4 January 2020 ,"Wat een mooi concept. Daarnaast heerlijk eten. Geraakt door de gastvrijheid! Dear Neina: Go for it.I wish you an amazing future!<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Fabulous food and excellent service,3 January 2020 ,"Dear OlgaHeinen,Thats one lovely photo !! Thank you . Naina is an absolutely brilliant girl and a happy soul . We are very fortunate to have Naina in our team and are proud to say that she has become so confident in the last...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,"Great food, atmosphere, and mission!",2 January 2020 ,"Recommended- this place is doing great things. The food, service and atmosphere is very good and it is decent value for money.",
Trip Advisor,Excellent,"Awesome place, great ethos",26 December 2019 ,"Dear guest,Thank you for your kind words. We are glad you had a great time here at KWAC . We are always happy to see happy reviews. Please do visit again someday .kind regards,KWAC family.",
Trip Advisor,Terrible,You Bet There's A Cause!,25 December 2019 ,"We ate here with our guide and group of 10 on a G Adventures Tour. This place has a buzzing atmosphere. The food and service were excellent and it's great to know you are helping a fantastic cause. We would highly recommend a visit.<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Very Good,Great Cause Good Food,25 December 2019 ,"Dear Helen,Thank you for your kind review and words. We are very happy that you had a great time . We are always thankful to G Adventures for  bringing their groups over to KWAC. We are very thankful and  consider ourselves fortunate and  we...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Visited here 3 times!!,19 December 2019 ,"While in Delhi we visited Kitchen With A Cause twice. The food was excellent both times. The restaurant has a good atmosphere and is clean and nicely designed, making it a cool place to hang out for an hour or two.<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great food and such a good cause ,17 December 2019 ,"Dear Lumoconnor,Thank you for visiting KWAC not once but twice. We are very happy that you enjoyed both the times . We have tried to create a simple yet calm ambience for guests to come and not only enjoy the food but also the...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Delicious food and helping local youth,12 December 2019 ,"The food was delicious and service was excellent. The restaurant was very busy and very noisy.  I applaud the work they do to help get local youth off the streets with training for future jobs. Make reservations!<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Delicious food,11 December 2019 ,"Namastey Stay765252,Greetings from Kithen With  A Cause!Thank you for your kind review. We are very happy that you enjoyed the food and service . Our main motive is to make sure our guests have a  memorable time here at KWAC ! We however...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Very Good,For Tourist Groups,9 December 2019 ,"Concept of the restaurant is wonderful. Food is magnificent. Stuffed naan, korma curry, butter chicken, garlic roti. OMG I could just keep going. It is definitely a must to eat at least once here",
Trip Advisor,Very Good,"Great food, friendly and attentive service, great social cause",8 December 2019 ,Interesting new food. Very noisy. Usually with large tables of group tours that all talk loiuder than the other,
Trip Advisor,Excellent,Will Definitely Return ,6 December 2019 ,"Hello Passenger797598,Greetings from KWAC !Thank you for your review. We apologise that you felt it was noisy but  will definitely work on that .Cheers !!KWAC family .",
Trip Advisor,Very Good,Excellent,27 November 2019 ,"We visited Kitchen With A Cause as an optional meal on our Golden Triangle Tour. This restaurant provides opportunities for those wanting to get a foot in the hospitality industry, and also serves up delicious meals. The menu serves up Indian curries, breads, and rices,...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great place with a great mission!,21 November 2019 ,"Visited here today after reading the reviews and loved it. Great food reasonably priced, clean and well laid out restaurant and great service. Had the restaurants specials: fish curry &amp; chicken curry, garlic Mann and rice. Will return.",
Trip Advisor,Excellent,Fantastic Food,20 November 2019 ,"Great food, service and atmosphere. And the opportunity to give back to the community. There's Indian, Chinese, burgers and pizza",
Trip Advisor,Excellent,Really good place!,17 November 2019 ,"We went here twice during our trip to Delhi - the food was great, service was excellent, and the restaurant does great work for the local population (providing street kids with internship opportunities)! You can feel good about eating here.",
Trip Advisor,Average,Disappointing,17 November 2019 ,"We had a meal here just recently with our tour.  The best food, fantastic service and the concept is heartwarming.  You need to go here if you vidit New Dehli.",
Trip Advisor,Excellent,Excellent,12 November 2019 ,"I visited kitchen with a cause restaurant alongwith my fiancee...the food was awesome &amp; the service was even better....that too at very low prices...By knowing that this restaurant helps the underprivileged youth of the streets to train them for the better future, I was...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Excellent food and service,10 November 2019 ,"During my trip, I went here for dinner and drinks several times and everything I ordered from the menu was excellent! Delicious food, modern and bright atmosphere, friendly staff and at very reasonable prices. I really love the concept of this restaurant. Kitchen With A...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Responsible tourism in its finest form,5 November 2019 ,"We were introduced to this restaurant as part of a G Adventures Tour and in my two weeks of being in India, this was my favourite restaurant. The food is high quality and exquisitely made, and what makes the experience that bit more special is...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great food - value for money - lovely staff,2 November 2019 ,"We visited as part of our G Adventures tour but also went back twice more because we were so impressed with the food, the service and the experience. All the food was fresh and tasty, price was very good, the cocktails were cheap and delicious.",
Trip Advisor,Excellent,"Delicious food, a brilliant concept.",31 October 2019 ,"What a great place to eat, and such a wonderful cause.  Welcoming, friendly and very efficient.  I'm happy to recommend to any traveller.",
Trip Advisor,Excellent,Delicious food and lovely staff,29 October 2019 ,We visited this restaurant twice during our stay in Delhi - delicious local and international food (noodles &amp, veg are great for when you need that fix!)
Trip Advisor,Excellent,Group visit of 12 travellers average age of group 60 years. Food excellent variety especially vegetarian choices. ,29 October 2019 ,"Fabulous atmosphere, very clean, great staff, brilliant service. Toilets western style very clean. Food all freshly prepared. Pre book essential if large group like ours. Accommodated the bills as we asked for individual ones. Concept of this KAFE is so important to help local people...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great Food For A Great cause,28 October 2019 ,"I ate here 3 times during my visit to Jaipur. Each time, whether in a group or on my own, I was made to feel very welcome. The food choice was good &amp; it tasted lovely. When the restaurant was full in the evening, service...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Outstanding traditional Indian food served in a chic casual setting,28 October 2019 ,"We visited KWAC 3 times during our short stay in Delhi and were all very impressed with the quality of the food, the cleanliness of the restaurant, and the attentiveness of the staff. From the unique Lahore curry served in a clay pot to the...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,"Amazing staff, restaurant and food",27 October 2019 ,"A group of 12 of us visited kitchen with a cause as part of a 2 week holiday in India. Such a great concept, the staff were lovely and so attentive and the food was great. We'll worth a visit",
Trip Advisor,Excellent,"Amazing restaurant, excellent food &amp; staff and beautiful decor.",25 October 2019 ,"We ate at this restaurant on two occasions and both times the food was excellent, customer service fantastic and fabulous surroundings.  I also loved the fact that it supports young people to engage in training for their futures and helps them to find employment.  Super...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,The best place to eat in Delhi,25 October 2019 ,"We were drawn to the restaurant due to the premise of what the cause promotes and how it can help people but what I wasn't expecting was just how delicious the food was going to be. I was in India for 2 weeks and this...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Best restaurant experience in India,24 October 2019 ,"We've been in India for 2 weeks and this restaurant impressed us the most. Besides the great food and service, they are also working on a great cause and have values which I definitely stand behind. I very much recommend this.",
Trip Advisor,Excellent,Excellent food and flavours. Friendly staff. Alcohol served,21 October 2019 ,"Nice that it also supports a good cause. Mostly visited by tourist, but excellent food and flavours, in a nice ambiance. Friendly staff. Alcohol served. Best meal in delhi.",
Trip Advisor,Very Good,"""Casual outing""",14 October 2019 ,"""As it is in its name that this place is run for a Cause ie to help underprivileged to earn their living""...Good Ambience, Food &amp; staff. When we visited this place it was fully occupied by the Foreign tourists &amp; some were also waiting for...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great dinner,13 October 2019 ,We visited this restaurant as a group and had a great dinner. Excellent initiative and well worth supporting!,
Trip Advisor,Excellent,Great Lunch!,8 October 2019 ,Food was awesome and was a lovely air conditioned setting to sit and enjoy some quiet away from the hustle of the market outside.,
Trip Advisor,Excellent,Great place to eat,29 September 2019 ,"Had a brief stopover in Delhi &amp; found this gem. Not only is the food delicious, fish tikka &amp; a seasonal veg curry, but it makes a difference to young people!",
Trip Advisor,Excellent,Very tasty food,24 September 2019 ,"I spent arround a week in India and went out for meals all the time. This restaurant was, so far, the one with the most tasty Indian food I came across. All the staff was very professional and polite.Having great food for a good...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Best restaurant in Delhi!,21 September 2019 ,"The best restaurant in Delhi! The best curry I have ever tasted, friendly staff and a great cause. Would highly recommend. We were in a big group and the restaurant staff did a great job of fitting us in because it was busy. Amazing cocktails...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Fantastic,18 September 2019 ,"Came here twice while in New Delhi, the first with a group &amp; the second time solo.Both times had great food &amp; great friendly service. This is definately worth supporting.",
Trip Advisor,Excellent,Excellent food,12 September 2019 ,"Ate here 3 times during my trip to The India. The food was excellent and the staff are all amazing. Bit more expensive than some other places but well worth it. You can also just go in for a beer if you want to get...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Please take the time to support this great restaurant.,10 September 2019 ,"I can’t understand why anyone would give this great restaurant less than 5 stars. We recently had dinner here and throughly enjoyed ourselves. The food was delicious and well presented the restaurant had a nice feel to it. On top of that they are helping...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Very Good,Good for New Visitors,4 September 2019 ,"We went here twice, at the beginning and end of our tour. As a first night restaurant it was great. The staff speak English, the food is good, and it is busy. We were with an organised tour, and it looked like a lot of...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Terrible,Kitchen without a cause,1 September 2019 ,"Dear Caron,Thank you for your kind review. We as Kitchen With A Cause family are trying to create a small difference in our society along with trying to serve delicious food and 5 star experience to our guests. We are glad that you had...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Cool Place,26 August 2019 ,"All 5 star reviews for a restaurant should give people a cause to be concerned.  Like many other westerners who have reviewed this restaurant, we also went there for dinner because we thought the place was doing some good.  The food took ages to arrive,...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Really tasty food and friendly staff - makes it a pleasure to support a good cause,25 August 2019 ,"Dear , SUMITA SThank you for taking out the time to write such a detailed review for our restaurant and we are sorry that you didn’t have a 5 star rating experience. Having said that, it has taken us some time to reply to...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Wonderful,11 August 2019 ,"I came here with a group and really enjoyed both the food and the atmosphere. Between us, we probably tried most of the stuff on the menu and there was nothing left on our plates, it was delicious. I had the butter chicken which i...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,nice food and conversation,30 July 2019 ,"I had the aloo ghobi (highly recommend it!) and it was the best I have had during my three weeks travel! Flavours and texture were absolutely on point. The staff is friendly and very service minded, making this perhaps one of my favourite restaurants in...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Amazing food that helps! ,28 July 2019 ,"The food here is excellent, fresh and well made.  The while idea is brilliant, and it's great to know that you are not just having a lovely meal but helping to get young people off the streets and into work.  The specials are great, as...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Very Good,Dinner ,26 July 2019 ,"A delicious dinner. We ordered the Dahl, butter chicken, rice, naan and two lime sodas. It was all delicious. 1200 rupees for two people so on the more expensive side for Delhi but it is a more western style tourist restaurant if you are just...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great food and enthusiastic staff,19 July 2019 ,"We visited for dinner following reviews on TripAdvisor - great food, really cool decor and the enthusiastic and motivated staff were great<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great restaurant ,11 July 2019 ,"Dear guest,Thank you  very much for your kind comments. It means a lot and helps us to improve and do better and better every passing day . We are very happy that you had a great time here at Kitchen With A Cause. Thank...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,REVIEW TIME ,9 July 2019 ,"We came as a group of 16+ and the service was excellent, friendly staff and great food too. Really good variety and choice of vegetarian options! Great atmosphere too. Would visit again if in Delhi.",
Trip Advisor,Excellent,Delicious food,5 July 2019 ,"Recently I had visited kitchen for a cause. Literally right now I don’t have any sort of words to describe this place. The environment which they had created for the customers are so dam marvellous like they had made a palace from a scrap, the...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Group Dinner,5 July 2019 ,"Great food in this gorgeous little restaurant. You could easily miss it walking past, but it is worth looking for. We shared a few different dishes and each of them was delicious. Plenty of veggie options and the meat in the meat ones was really...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Wonderful,3 July 2019 ,"A group of 14 of us came for dinner and we were blame away by the quality of food! The flavours were amazing and everything was so fresh! Will definitely return at the end of our trip, best restaurant in Delhi!",
Trip Advisor,Excellent,Best butter chicken on my india trip.,2 July 2019 ,"Two experience travellers in Delhi. We were struggling to find somewhere that was cheap and cheerful, but also very nice...thank goodness we found the Kitchen. Beautiful food, friendly and attentive staff, cool vibes and all for a very reasonable price. Couldn't recommend more!",
Trip Advisor,Excellent,Wonderful Indian cuisine at great prices and for a cause!,10 June 2019 ,"I came across the place by a stroke of luck while out waking through the shopping area nearby on my final day in India. I wish I had found it on my first day here. I had the butter chicken for lunch and it was...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Group Dinner,10 June 2019 ,"A great restaurant supported by G Adventures where we ate as a group on 2 occasions (start and end of our tour). Supporting local people, it was great to dine here rather than any random restaurant, With delicious food, making a choice was a hard...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great variety and well priced,6 June 2019 ,"I visited a number of times during my visit to New Delhi, both with members of my tour group and by myself. The food was delicious and the servings were generous. The staff were friendly and attentive. The facilities were all very clean.",
Trip Advisor,Excellent,Visited 3 times in two weeks - did not disappoint. Vegan options!,30 May 2019 ,"We were recommended this hotel from a G adventures  tour, and we were not disappointed. We tried a number of dishes, mostly Indian, and I'd advise you stick to these when visiting. On our last visit we opted for the veggie burger, but it was...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Very Good,Very clean,18 May 2019 ,"Great restaurant, food was yummy but a little pricey.Decor is beautiful and very clean.Staff are fabulous.",
Trip Advisor,Excellent,Great place,17 May 2019 ,This is a great place to visit with your family and friends.  The food is delicious and service is excellent.  Totally 10 on 10.,
Trip Advisor,Very Good,Very good Indian dinner,4 May 2019 ,"Probably for turists, but they offer a good variety of Indian dishes originally revised plus some Chinese food. All the dishes we tried were very good, I had tandoor nasi chicken, chef selection, very good. They serve alcohol.",
Trip Advisor,Excellent,Very delicious food and good choice of various drinks,2 May 2019 ,"This Reustaurant seems to be supported by many Travel Oranizations, including Trip Advisor. There are always many people waitingn for the table and/or chair. The atmospher inside is amazing and the food delicious!",
Trip Advisor,Excellent,A must in Delhi,2 May 2019 ,"Seek out this great social enterprise restaurant set up to offer internships for young adults from the streets who have been assisted by NGO's across Delhi. Great set up, excellent food and service",
Trip Advisor,Excellent,Amazing!!!,28 April 2019 ,We were there last evening for dinner and from the first second we got there we fell in love with the place. unique concept and design great food and service.The best restorant we been in india!!!,
Trip Advisor,Excellent,Fantastic food and excellent cause!,23 April 2019 ,"In my short stay in Delhi, I visited this restaurant twice!The staff are fantastic, very attentive and always happy and bubbly when serving. This is such a fantastic cause to support.And of course, the food was extremely delicious!",
Trip Advisor,Excellent,Great food for a good cause,21 April 2019 ,"Not the easiest place to find but, once we'd arrived, the welcome and the food that followed was superb. Really can't fault anything - food all high standard, well presented and very reasonable. Nice staff. If you want good food that supports a social cause,...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Inspirational place!,17 April 2019 ,The food and the service here is amazing. After 2 weeks in India the meal I had here was the best by far! Keep doing what you do! You are incredible! A little piece of hope for the young people of Delhi,
Trip Advisor,Excellent,"Such a beautiful experience and food, for such a great cause",16 April 2019 ,"My mum and I went to this restaurant twice during our 2 separate stays in Delhi, precisely because we loved it so much! We found the food very reasonably priced, super tasty, and the staff totally wonderful. They offer such a variety of food to...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great food on best price,16 April 2019 ,"Recently I got chance to visit Kitchen with cause restaurant in Karol Bagh . as I am frequent traveler to Karol Bagh food places for last many years I must say KWC is just brilliant. The ambiance, staff, location and certainly the food which really...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Very Good,"Good food, great for groups",15 April 2019 ,"Reasonably priced, flavourful well prepared food. Appeared to be quite popular with tourists. Service was good. Our server was quite busy, seemed like he may have had too many tables, and meals were quite slow coming to the table but otherwise no complaints.",
Trip Advisor,Terrible,No ingredients ,11 April 2019 ,"Had to Order 3 times to get something that they had ingredients for, disappointing service, in the end I got a pizza, the smallest pizza I’ve ever seen<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Fantastic food for a fantastic cause,10 April 2019 ,"Dear GuestExtremely sorry for your unpleasant experience at Kitchen With A Cause, and thanks you for letting us know about the problem. We have worked on the same and we make sure shall not be repeated in future, and looking forward to give you...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Outstanding food and great atmosphere ,9 April 2019 ,"This restaurant was by far my favorite food place I visited within India because of the initiative it supports. KWAC educates young people and provides them with 6 month internship to teach them the skills and knowledge to be able to work in the hospitality...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Great food and amazing cause,9 April 2019 ,"I ate here a couple of times during my trip to Delhi. I was drawn here initially based upon a recommendation and I was not disappointed. As a vegetarian, I was spoilt for choice and every dish I had was cooked perfectly and presented well....<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,"Wow, this is a must do!",6 April 2019 ,"KWAC provides internships for young people from a care background, and helps them get in to the hospitality industry. The cause alone is worth a visit (the tasty food and drink is a massive bonus!).I ate and drank here multiple times on my trip...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Delicious food with a fantastic cause.,6 April 2019 ,"Went here for dinner today.The food is absolutely brilliant.Tasty, expertly cooked.I had a tandoori dish. Make sure you finish with an excellent chai tea.Probably the best Indian food I have ever had (and I’ve had a lot!).The staff were wonderful...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Twice in three days,5 April 2019 ,"Came across this place on TA so decided to give it a go because the name fascinated me. Firstly the cause is great, helping young adults transitioning from a life in care to the job market is a critical missing piece of a lot of...<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
Trip Advisor,Excellent,Nice restaurante,4 April 2019 ,"Namastey ,Thank you for your feedback. We are very happy that not only you enjoyed our food but also appreciated what we do here. Our door and heart is always open for you. Thank you again for visiting KWAC!!",
Trip Advisor,Excellent,perfect,26 March 2019 ,"This was actually the first restaurant we went to India and it didn’t disappoint. It’s clean and very touristic.The food was really good ! I would visit again<span class=""taLnk ulBlueLinks"" onclick=""widgetEvCall('handlers.clickExpand',event,this);"">More</span>",
